Individual								Number	PopName
Certhia_albescens_CMexico_UWBM106936	1		CMexico
Certhia_albescens_CMexico_UWBM107890	2		CMexico
Certhia_albescens_CMexico_UWBM107897	3		CMexico
Certhia_albescens_Chiapas_UWBM113447	4		Chiapas
Certhia_albescens_Chiapas_UWBM113461	5		Chiapas
Certhia_albescens_Chiapas_UWBM113462	6		Chiapas
Certhia_albescens_Honduras_UWBM103417	7		Honduras
Certhia_albescens_Honduras_UWBM105618	8		Honduras
Certhia_albescens_Honduras_UWBM93696	9		Honduras
Certhia_albescens_NuevoLeon_UWBM106768	10		NuevoLeon
Certhia_albescens_NuevoLeon_UWBM111691	11		NuevoLeon
Certhia_albescens_NuevoLeon_UWBM111708	12		NuevoLeon
Certhia_americana_California_UWBM112794	13		California
Certhia_americana_California_UWBM112795	14		California
Certhia_americana_California_UWBM113198	15		California
Certhia_americana_Utah_UWBM113162		16		Utah
Certhia_americana_Utah_UWBM113167		17		Utah
Certhia_americana_Utah_UWBM113168		18		Utah
Certhia_americana_WVirginia_UWBM107061	19		WVirginia
Certhia_americana_WVirginia_UWBM112054	20		WVirginia
Certhia_americana_WVirginia_UWBM112055	21		WVirginia
